Tract Number,Mean Age,Latitude,Longitude,GEOID
1313,32.7,34.2141235,-118.59024,1400000US06037134201
1314,39.3,34.2138875,-118.6216555,1400000US06037134302
1316,39.6,34.2027615,-118.614672,1400000US06037134303
131701,37.2,34.213963,-118.6102945,1400000US06037134304
131702,37.5,34.2176665,-118.601714,1400000US06037134305
131801,32.8,34.2119155,-118.601704,1400000US06037134306
131802,35.6,34.2027805,-118.6477985,1400000US06037134421
1319,39.7,34.203569,-118.630125,1400000US06037134422
132001,36.6,34.2137705,-118.63362,1400000US06037134423
132002,35,34.21294,-118.6550685,1400000US06037134424
132101,31.9,34.197392,-118.59933,1400000US06037134520
132102,41.6,34.2046645,-118.5952795,1400000US06037134521
132301,32.8,34.2046535,-118.6016945,1400000US06037134522
132302,37.5,34.204629,-118.579151,1400000US06037134710
132501,42.3,34.204646,-118.568813,1400000US06037134720
132502,45.8,34.195612,-118.5725685,1400000US06037134800
1327,37.6,34.1859945,-118.562223,1400000US06037134901
1329,41.1,34.191802,-118.5929565,1400000US06037134903
1330,42,34.1904695,-118.5796995,1400000US06037134904
133101,40.1,34.1829585,-118.584201,1400000US06037134905
133102,44.6,34.188713,-118.6189975,1400000US06037135102
134001,34.4,34.192351,-118.6102355,1400000US06037135111
134002,36,34.181024,-118.6059875,1400000US06037135113
134101,34.5,34.1882935,-118.605996,1400000US06037135114
134103,42,34.1949925,-118.157667,1400000US06037460302
134104,36.3,34.1883425,-118.627666,1400000US06037135201
134201,39,34.1891815,-118.6372335,1400000US06037135202
134302,44.9,34.1943875,-118.6552165,1400000US06037135203
134303,43.3,34.167095,-118.6409615,1400000US06037137000
134304,40.7,34.1742965,-118.6015635,1400000US06037137103
134305,29,34.1740855,-118.5841795,1400000US06037137104
134306,38.2,34.1718335,-118.614082,1400000US06037137201
134421,47.5,34.1767335,-118.6309385,1400000US06037137301
134422,45.2,34.177044,-118.6555755,1400000US06037137302
134423,54.1,34.1582135,-118.612342,1400000US06037137401
134424,50.3,34.156668,-118.626367,1400000US06037137402
134520,34.7,34.165383,-118.5752795,1400000US06037137501
134521,30.2,34.163679,-118.596991,1400000US06037137502
134522,31.1,34.14705,-118.571596,1400000US06037137504
134710,32.1,34.1469275,-118.5914025,1400000US06037138000
134720,35.3,34.1752945,-118.509778,1400000US06037139001
134801,42,34.175666,-118.5246645,1400000US06037139200
134802,40.9,34.1796355,-118.556094,1400000US06037139301
134901,40.5,34.1767015,-118.5383655,1400000US06037139302
134904,40.2,34.1758345,-118.533412,1400000US06037139303
134905,33,34.169524,-118.5377675,1400000US06037139401
134906,31.2,34.1677675,-118.548778,1400000US06037139402
134907,29.1,34.164742,-118.5254075,1400000US06037139502
135102,46.3,34.1673155,-118.524646,1400000US06037139503
135111,35.3,34.1667565,-118.5203235,1400000US06037139504
135113,39.2,34.1632385,-118.509831,1400000US06037139600
135115,32.9,34.157356,-118.4967075,1400000US06037139701
